customer_id,title,details,transaction_type,payment_mode
1002,High-Interest Savings Account,Earn more on your savings with our high-interest rate savings account. No minimum balance required.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1002,Travel Rewards Credit Card,Enjoy cashback and reward points on all your travel expenses with our Travel Rewards Credit Card.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1002,"Invest Smart, Earn More",Maximize your investments with our plans offering high returns and tax benefits.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1006,Maximize Your Savings with High-Interest Account,Open our high-interest savings account with no minimum balance today and start earning more on your deposits.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1006,Travel More with Our Low-Interest Home Loan,"Get a home loan at low interest rates, freeing up your finances for unforgettable travel experiences.","0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1006,Earn Cashback and Reward Points with Our Credit Card,Enjoy the benefits of cashback and reward points on every purchase you make with our credit card.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1017,Low-Interest Home Loan for Educators,"Take advantage of our low-interest home loan specifically designed for educators, making it easier to buy or refinance your dream home.","0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1017,Credit Card Rewards for Healthcare Professionals,Earn cashback and reward points with our credit card tailored for healthcare professionals. Maximize your savings today!,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1017,High-Interest Savings Account with No Minimum Balance,Start growing your savings effortlessly with our high-interest savings account requiring no minimum balance.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1018,Low Interest Rate Personal Loan with Flexible EMI Options,Enjoy flexible repayment options and low interest rates on our personal loan.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1018,Travel More with Our Low Interest Rate Home Loan,Apply for a home loan with competitive interest rates to free up your finances for travel adventures.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1018,Maximize Your Spending with Our Credit Card Offer,Earn cashback and reward points on all your purchases with our credit card.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1020,Low Interest Home Loan for Comfortable Living,Apply now and take advantage of our competitive home loan rates.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1020,Invest Smartly with High Returns and Tax Benefits,Explore our investment plans designed to help you grow your wealth.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1020,Maximize Rewards with Our Credit Cards,Earn cashback and reward points on your purchases using our credit cards.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1042,Healthcare Credit Card with Rewards,Earn cashback and reward points on all healthcare-related expenses.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1042,Travel Savings Account with High Interest Rates,Save for your next trip with a savings account offering high interest rates.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1042,Education Personal Loan with Flexible EMI Options,Cover education expenses easily with a personal loan featuring flexible EMI options.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1044,Travel More with Our Tailored Banking Package,Exclusive travel deals and rewards for our valued customers.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1044,Boost Your Learning Journey with Our Educational Investment Plan,"Invest in education, earn high returns, and enjoy tax benefits.","0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1044,Smart Shopping with Our Low Interest Rate Credit Card,Earn cashback and reward points on every purchase.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1106,Healthcare Reward Credit Card,Earn reward points on all healthcare expenses. Redeem for exclusive wellness packages and discounts.,"0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
1106,Travel Smart Savings Account,"High interest rates, no minimum balance, and travel-friendly features. Perfect for your next adventure!","0      Withdrawal
1         Payment
2         Payment
3         Deposit
4         Deposit
          ...    
995       Deposit
996       Deposit
997    Withdrawal
998      Transfer
999       Deposit
Name: transaction_type, Length: 1000, dtype: object","0      Credit Card
1       Debit Card
2              UPI
3       Debit Card
4              UPI
          ...     
995    Net Banking
996    Credit Card
997    Credit Card
998     Debit Card
999    Credit Card
Name: payment_mode, Length: 1000, dtype: object"
